,Country,Player,Team,Base price,Winning bid,Year
392,Australia,Billy Stanlake,Royal Challengers Bangalore,30,30,2017
393,India,Mohammed Siraj,Sunrisers Hyderabad,20,260,2017
394,India,Rahul Chahar,Rising Pune Supergiants,10,10,2017
395,India,Saurabh Kumar,Rising Pune Supergiants,10,10,2017
396,Sri Lanka,Asela Gunaratne,Mumbai Indians,30,30,2017
397,Australia,Daniel Christian,Rising Pune Supergiants,100,100,2017
398,Jamaica,Rovman Powell,Kolkata Knight Riders,30,30,2017
399,Saint Lucia,Darren Sammy,Kings XI Punjab,30,30,2017
400,India,Munaf Patel,Gujarat Lions,30,30,2017
401,India,Rinku Singh,Kings XI Punjab,10,10,2017
402,India,Shashank Singh,Delhi Daredevils,10,10,2017
403,India,Milind Tandon,Rising Pune Supergiants,10,10,2017
404,India,Kulwant Khejroliya,Mumbai Indians,10,10,2017
405,United Arab Emirates,Chirag Suri,Gujarat Lions,10,10,2017
406,India,R Sanjay Yadav,Kolkata Knight Riders,10,10,2017
407,India,Shelley Shaurya,Gujarat Lions,10,10,2017
408,India,Shubham Agarwal,Gujarat Lions,10,10,2017
409,India,Ishank Jaggi,Kolkata Knight Riders,10,10,2017
410,India,Rahul Tripathi,Rising Pune Supergiants,10,10,2017
411,India,Pratham Singh,Gujarat Lions,10,10,2017
412,India,Akshdeep Nath,Gujarat Lions,10,10,2017
413,New Zealand,Lockie Ferguson,Rising Pune Supergiants,50,50,2017
414,India,Manoj Tiwary,Rising Pune Supergiants,50,50,2017
415,Trinidad and Tobago,Darren Bravo,Kolkata Knight Riders,50,50,2017
416,India,Sayan Ghosh,Kolkata Knight Riders,10,10,2017
417,India,Shikhar Dhawan,Sunrisers Hyderabad,200,520,2018
418,India,Ravichandran Ashwin,Kings XI Punjab,200,760,2018
419,Trinidad and Tobago,Kieron Pollard,Mumbai Indians,200,540,2018
420,England,Ben Stokes,Rajasthan Royals,200,1250,2018
421,South Africa,Faf du Plessis,Chennai Super Kings,150,160,2018
422,India,Ajinkya Rahane,Rajasthan Royals,200,400,2018
423,Australia,Mitchell Starc,Kolkata Knight Riders,200,940,2018
424,India,Harbhajan Singh,Chennai Super Kings,200,200,2018
425,Bangladesh,Shakib Al Hasan,Sunrisers Hyderabad,100,200,2018
426,Australia,Glenn Maxwell,Delhi Daredevils,200,900,2018
427,India,Gautam Gambhir,Delhi Daredevils,200,280,2018
428,Trinidad and Tobago,Dwayne Bravo,Chennai Super Kings,200,640,2018
429,New Zealand,Kane Williamson,Sunrisers Hyderabad,150,300,2018
430,India,Yuvraj Singh,Kings XI Punjab,200,200,2018
431,India,Karun Nair,Kings XI Punjab,50,560,2018
432,India,KL Rahul,Kings XI Punjab,200,1100,2018
433,South Africa,David Miller,Kings XI Punjab,150,300,2018
434,Australia,Aaron Finch,Kings XI Punjab,150,620,2018
435,New Zealand,Brendon McCullum,Royal Challengers Bangalore,200,360,2018
436,England,Jason Roy,Delhi Daredevils,150,150,2018
437,Australia,Chris Lynn,Kolkata Knight Riders,200,960,2018
438,India,Manish Pandey,Sunrisers Hyderabad,100,1100,2018
439,England,Chris Woakes,Royal Challengers Bangalore,200,740,2018
440,Barbados,Carlos Brathwaite,Sunrisers Hyderabad,100,200,2018
441,Australia,Shane Watson,Chennai Super Kings,100,400,2018
442,India,Kedar Jadhav,Chennai Super Kings,200,780,2018
443,New Zealand,Colin de Grandhomme,Royal Challengers Bangalore,75,220,2018
444,India,Yusuf Pathan,Sunrisers Hyderabad,75,190,2018
445,New Zealand,Colin Munro,Delhi Daredevils,50,190,2018
446,India,Stuart Binny,Rajasthan Royals,50,50,2018
447,Australia,Marcus Stoinis,Kings XI Punjab,200,620,2018
448,England,Moeen Ali,Royal Challengers Bangalore,150,170,2018
449,South Africa,Quinton de Kock,Royal Challengers Bangalore,200,280,2018
450,India,Wriddhiman Saha,Sunrisers Hyderabad,100,500,2018
451,India,Dinesh Karthik,Kolkata Knight Riders,200,740,2018
452,India,Robin Uthappa,Kolkata Knight Riders,200,640,2018
453,India,Sanju Samson,Rajasthan Royals,100,800,2018
454,India,Ambati Rayudu,Chennai Super Kings,50,220,2018
455,England,Jos Buttler,Rajasthan Royals,150,440,2018
456,Bangladesh,Mustafizur Rahman,Mumbai Indians,100,220,2018
457,Australia,Pat Cummins,Mumbai Indians,200,540,2018
458,India,Umesh Yadav,Royal Challengers Bangalore,100,420,2018
459,India,Mohammed Shami,Delhi Daredevils,100,300,2018
460,South Africa,Kagiso Rabada,Delhi Daredevils,150,420,2018
461,India,Piyush Chawla,Kolkata Knight Riders,100,420,2018
462,South Africa,Imran Tahir,Chennai Super Kings,100,100,2018
463,India,Karn Sharma,Chennai Super Kings,200,500,2018
464,Afghanistan,Rashid Khan,Sunrisers Hyderabad,200,900,2018
465,India,Amit Mishra,Delhi Daredevils,150,400,2018
466,India,Yuzvendra Chahal,Royal Challengers Bangalore,200,600,2018
467,India,Kuldeep Yadav,Kolkata Knight Riders,150,580,2018
468,India,Suryakumar Yadav,Mumbai Indians,30,320,2018
469,India,Shubman Gill,Kolkata Knight Riders,20,180,2018
470,India,Ishank Jaggi,Kolkata Knight Riders,20,20,2018
471,India,Ricky Bhui,Sunrisers Hyderabad,20,20,2018
472,India,Mayank Agarwal,Kings XI Punjab,20,100,2018
473,India,Rahul Tripathi,Rajasthan Royals,20,340,2018
474,India,Manan Vohra,Royal Challengers Bangalore,20,110,2018
475,India,Prithvi Shaw,Delhi Daredevils,20,120,2018
476,India,Rahul Tewatia,Delhi Daredevils,20,300,2018
477,India,Deepak Hooda,Sunrisers Hyderabad,40,360,2018
478,India,Vijay Shankar,Delhi Daredevils,40,320,2018
479,India,Harshal Patel,Delhi Daredevils,20,20,2018
480,India,Kamlesh Nagarkoti,Kolkata Knight Riders,20,320,2018
481,India,Krunal Pandya,Mumbai Indians,40,880,2018
482,India,Nitish Rana,Kolkata Knight Riders,20,340,2018
483,Australia,D'Arcy Short,Rajasthan Royals,20,400,2018
484,Barbados,Jofra Archer,Rajasthan Royals,40,720,2018
485,India,Ishan Kishan,Mumbai Indians,40,620,2018
486,India,Kulwant Khejroliya,Royal Challengers Bangalore,20,85,2018
487,India,Siddharth Kaul,Sunrisers Hyderabad,30,380,2018
488,India,T Natarajan,Sunrisers Hyderabad,40,40,2018
489,India,Basil Thampi,Sunrisers Hyderabad,30,95,2018
490,India,Aniket Choudhary,Royal Challengers Bangalore,30,30,2018
491,India,Khaleel Ahmed,Sunrisers Hyderabad,20,300,2018
492,India,Navdeep Saini,Royal Challengers Bangalore,20,300,2018
493,India,Avesh Khan,Delhi Daredevils,20,70,2018
494,India,Ankit Rajpoot,Kings XI Punjab,30,300,2018
495,India,Rahul Chahar,Mumbai Indians,20,190,2018
496,India,Shahbaz Nadeem,Delhi Daredevils,40,320,2018
497,India,Krishnappa Gowtham,Rajasthan Royals,20,620,2018
498,India,Murugan Ashwin,Royal Challengers Bangalore,20,220,2018
499,Trinidad and Tobago,Evin Lewis,Mumbai Indians,150,380,2018
500,India,Saurabh Tiwary,Mumbai Indians,50,80,2018
501,India,Mandeep Singh,Royal Challengers Bangalore,50,140,2018
502,India,Manoj Tiwary,Kings XI Punjab,50,100,2018
503,India,Washington Sundar,Royal Challengers Bangalore,150,320,2018
504,India,Pawan Negi,Royal Challengers Bangalore,50,100,2018
505,Australia,Daniel Christian,Delhi Daredevils,100,150,2018
506,India,Jayant Yadav,Delhi Daredevils,50,50,2018
507,India,Gurkeerat Singh,Delhi Daredevils,50,75,2018
508,Australia,Ben Cutting,Mumbai Indians,100,220,2018
509,Afghanistan,Mohammad Nabi,Sunrisers Hyderabad,50,100,2018
510,India,Dhawal Kulkarni,Rajasthan Royals,50,75,2018
511,India,Mohit Sharma,Kings XI Punjab,150,240,2018
512,India,Sandeep Sharma,Sunrisers Hyderabad,50,300,2018
